episode,n,mult,agent_rays,baseline_rays,gap,resolved
87,2,10,9,9,0,1
88,4,20,5,5,0,1
89,2,18,10,4,6,1
90,2,7,3,3,0,1
91,2,3,2,2,0,1
92,3,13,17,12,5,1
93,4,9,6,4,2,1
94,3,20,37,4,33,1
95,3,19,6,6,0,1
96,3,13,4,3,1,1
97,3,8,3,3,0,1
98,2,8,4,2,2,1
99,3,15,19,7,12,1
100,3,5,1,1,0,1
101,2,20,9,7,2,1
102,4,2,1,1,0,1
103,3,5,1,1,0,1
104,3,16,5,5,0,1
105,3,20,7,2,5,1
106,2,12,11,11,0,1
107,2,4,1,1,0,1
108,4,18,17,17,0,1
109,3,4,1,1,0,1
110,4,7,3,3,0,1
111,3,17,18,10,8,1
112,4,7,2,2,0,1
113,4,3,1,1,0,1
114,3,13,6,6,0,1
115,2,5,2,2,0,1
116,3,19,40,9,31,0
117,4,8,12,13,-1,1
118,3,6,1,1,0,1
119,4,10,11,9,2,1
120,2,14,6,5,1,1
121,4,4,4,3,1,1
122,2,7,6,6,0,1
123,4,17,14,8,6,1
124,4,9,16,11,5,1
125,2,13,3,3,0,1
126,2,4,3,3,0,1
127,2,14,5,5,0,1
128,2,9,2,2,0,1
129,4,5,2,2,0,1
130,3,15,14,9,5,1
131,2,2,1,1,0,1
132,3,8,7,7,0,1
133,3,16,33,15,18,1
134,2,4,3,3,0,1
135,3,8,3,3,0,1
136,3,2,1,1,0,1
137,2,18,30,3,27,1
138,2,12,3,3,0,1
139,4,15,5,5,0,1
140,3,7,3,3,0,1
141,3,14,7,6,1,1
142,4,7,8,6,2,1
143,2,19,11,3,8,1
144,3,5,3,2,1,1
145,3,6,4,4,0,1
146,2,9,2,2,0,1
147,2,4,3,3,0,1
148,2,20,9,7,2,1
149,4,2,1,1,0,1
150,2,13,6,4,2,1
151,4,16,26,11,15,1
152,3,14,40,13,27,0
153,2,14,2,2,0,1
154,4,13,9,4,5,1
155,2,16,15,15,0,1
156,2,11,2,2,0,1
157,3,15,8,7,1,1
158,4,19,40,10,30,0
159,3,17,8,8,0,1
160,3,11,3,2,1,1
161,4,13,18,13,5,1
162,3,13,3,2,1,1
163,3,3,1,1,0,1
164,4,5,5,4,1,1
165,3,13,1,1,0,1
166,3,4,3,2,1,1
167,4,8,16,10,6,1
168,3,4,3,3,0,1
169,2,16,1,1,0,1
170,3,5,4,4,0,1
171,3,17,7,2,5,1
172,2,16,5,5,0,1
173,2,19,4,4,0,1
174,2,16,15,3,12,1
175,2,13,6,2,4,1
176,2,3,1,1,0,1
177,2,14,7,5,2,1
178,3,3,2,2,0,1
179,3,2,1,1,0,1
180,3,15,26,6,20,1
181,4,2,1,1,0,1
182,3,11,9,6,3,1
183,4,2,1,1,0,1
184,3,5,2,2,0,1
185,4,11,23,11,12,1
186,2,7,1,1,0,1
187,2,4,1,1,0,1
188,3,7,6,6,0,1
189,4,7,6,6,0,1
190,3,17,7,5,2,1
191,4,12,21,11,10,1
192,3,10,4,4,0,1
193,3,2,1,1,0,1
194,3,18,40,5,35,0
195,3,3,1,1,0,1
196,2,10,1,1,0,1
197,3,3,1,1,0,1
198,3,2,1,1,0,1
199,2,20,18,2,16,1
