episode,n,mult,agent_rays,baseline_rays,gap,resolved
0,4,8,9,7,2,1
1,3,5,1,1,0,1
2,4,6,4,3,1,1
3,4,4,3,3,0,1
4,2,12,11,3,8,1
5,2,10,1,1,0,1
6,4,15,38,19,19,1
7,2,18,17,17,0,1
8,4,10,9,9,0,1
9,2,13,1,1,0,1
10,2,2,1,1,0,1
11,3,17,16,5,11,1
12,2,16,7,4,3,1
13,4,2,1,1,0,1
14,3,16,27,9,18,1
15,3,6,6,3,3,1
16,2,20,3,3,0,1
17,3,19,37,4,33,1
18,2,18,17,17,0,1
19,2,12,11,11,0,1
20,4,9,11,8,3,1
21,4,12,3,3,0,1
22,4,8,3,3,0,1
23,2,4,1,1,0,1
24,2,18,17,17,0,1
25,3,4,3,3,0,1
26,2,18,13,4,9,1
27,4,18,40,17,23,0
28,2,9,2,2,0,1
29,4,19,14,10,4,1
30,2,18,1,1,0,1
31,2,8,2,2,0,1
32,4,4,4,3,1,1
33,4,2,1,1,0,1
34,3,9,8,4,4,1
35,4,17,40,13,27,0
36,2,12,11,3,8,1
37,3,2,1,1,0,1
38,4,20,21,7,14,1
39,3,14,13,5,8,1
40,2,11,4,4,0,1
41,4,2,1,1,0,1
42,4,3,2,2,0,1
43,3,12,5,3,2,1
44,4,9,6,3,3,1
45,4,14,25,7,18,1
46,4,20,40,19,21,0
47,4,5,2,2,0,1
48,4,11,30,16,14,1
49,4,6,7,3,4,1
50,2,4,3,3,0,1
51,4,4,3,3,0,1
52,3,9,5,5,0,1
53,4,15,33,9,24,1
54,3,13,17,12,5,1
55,4,9,11,4,7,1
56,4,15,40,8,32,0
57,4,11,27,19,8,1
58,2,18,17,17,0,1
59,4,20,40,16,24,0
60,3,2,1,1,0,1
61,3,6,8,5,3,1
62,2,3,1,1,0,1
63,2,16,3,3,0,1
64,4,6,3,3,0,1
65,3,17,13,3,10,1
66,3,3,2,2,0,1
67,4,4,1,1,0,1
68,2,19,13,6,7,1
69,3,17,4,4,0,1
70,4,14,13,7,6,1
71,3,3,2,2,0,1
72,4,9,2,2,0,1
73,4,4,4,3,1,1
74,2,7,3,3,0,1
75,4,17,40,13,27,0
76,2,12,8,3,5,1
77,2,6,1,1,0,1
78,4,3,2,2,0,1
79,3,4,4,3,1,1
80,2,3,1,1,0,1
81,3,15,5,5,0,1
82,2,17,8,8,0,1
83,3,16,5,4,1,1
84,2,3,2,2,0,1
85,4,5,4,4,0,1
86,2,20,7,7,0,1
