episode,state_idx,predicted_value,target_value
0,0,-0.4006389081478119,-22.0
0,1,-0.06009909510612488,-22.0
0,2,-0.0384863018989563,-22.0
0,3,-0.05241397023200989,-22.0
0,4,-0.24810919165611267,-22.0
0,5,-0.146627277135849,-22.0
0,6,-0.16026028990745544,-22.0
0,7,-0.126165509223938,-22.0
0,8,-0.12567570805549622,-22.0
0,9,-0.12760818004608154,-22.0
0,10,-0.14689460396766663,-22.0
0,11,-0.14702165126800537,-22.0
0,12,-0.13521844148635864,-22.0
0,13,-0.11758232116699219,-22.0
0,14,-0.10736164450645447,-22.0
0,15,-0.11298984289169312,-22.0
0,16,-0.23723384737968445,-22.0
0,17,-0.2647780776023865,-22.0
0,18,-0.3092069625854492,-22.0
0,19,-0.29358604550361633,-22.0
0,20,-0.31634795665740967,-22.0
0,21,-0.3090815544128418,-22.0
0,22,-0.2994513213634491,-22.0
0,23,-0.29227766394615173,-22.0
0,24,-0.2859773635864258,-22.0
0,25,-0.2788141667842865,-22.0
0,26,-0.27505359053611755,-22.0
0,27,-0.2727735638618469,-22.0
1,0,-0.5003674030303955,0.0
2,0,-0.6542670130729675,-3.0
2,1,-0.6617950201034546,-3.0
2,2,-0.6589746475219727,-3.0
2,3,-0.6640105247497559,-3.0
2,4,-0.661186933517456,-3.0
2,5,-0.6656332015991211,-3.0
2,6,-0.667297899723053,-3.0
2,7,-0.6695703268051147,-3.0
2,8,-0.6710357069969177,-3.0
2,9,-0.6699715256690979,-3.0
2,10,-0.6684650778770447,-3.0
3,0,-0.6317085027694702,-25.0
3,1,-0.6945931911468506,-25.0
3,2,-0.6983809471130371,-25.0
3,3,-0.6981843709945679,-25.0
3,4,-0.7012609243392944,-25.0
3,5,-0.69983971118927,-25.0
3,6,-0.7014737129211426,-25.0
3,7,-0.7018064260482788,-25.0
3,8,-0.7023866176605225,-25.0
3,9,-0.701225996017456,-25.0
3,10,-0.7013423442840576,-25.0
3,11,-0.7001795768737793,-25.0
3,12,-0.7000430822372437,-25.0
3,13,-0.6996922492980957,-25.0
3,14,-0.6983293294906616,-25.0
3,15,-0.6986143589019775,-25.0
3,16,-0.6973822116851807,-25.0
3,17,-0.6967304944992065,-25.0
3,18,-0.6959941387176514,-25.0
3,19,-0.6951136589050293,-25.0
3,20,-0.6952574253082275,-25.0
3,21,-0.6941304206848145,-25.0
3,22,-0.6930820941925049,-25.0
3,23,-0.6927852630615234,-25.0
3,24,-0.6912819147109985,-25.0
3,25,-0.6900964975357056,-25.0
3,26,-0.6895793676376343,-25.0
3,27,-0.6896952390670776,-25.0
3,28,-0.6883533000946045,-25.0
