episode,n,mult,agent_rays,baseline_rays,gap,resolved
0,2,50,1,1,0,1
1,2,50,18,3,15,1
2,2,50,60,6,54,1
3,2,50,2,2,0,1
4,2,50,49,49,0,1
5,2,50,2,2,0,1
6,2,50,5,5,0,1
7,2,50,2,2,0,1
8,2,50,1,1,0,1
9,2,50,8,8,0,1
10,2,50,49,49,0,1
11,2,50,29,5,24,1
12,2,50,3,3,0,1
13,2,50,4,4,0,1
14,2,50,17,17,0,1
15,2,50,1,1,0,1
16,2,50,1,1,0,1
17,2,50,3,2,1,1
18,2,50,12,7,5,1
19,2,50,20,8,12,1
20,2,50,3,3,0,1
21,2,50,45,4,41,1
22,2,50,3,2,1,1
23,2,50,22,17,5,1
24,2,50,5,4,1,1
25,2,50,1,1,0,1
26,2,50,27,17,10,1
27,2,50,30,2,28,1
28,2,50,27,4,23,1
29,2,50,17,7,10,1
30,2,50,2,2,0,1
31,2,50,18,3,15,1
32,2,50,54,5,49,1
33,2,50,25,5,20,1
34,2,50,27,4,23,1
35,2,50,10,8,2,1
36,2,50,3,3,0,1
37,2,50,5,3,2,1
38,2,50,5,5,0,1
39,2,50,41,5,36,1
40,2,50,5,4,1,1
41,2,50,1,1,0,1
42,2,50,2,2,0,1
43,2,50,36,5,31,1
44,2,50,2,2,0,1
45,2,50,21,5,16,1
46,2,50,11,4,7,1
47,2,50,40,17,23,1
48,2,50,75,17,58,1
49,2,50,1,1,0,1
50,2,50,2,2,0,1
51,2,50,1,1,0,1
52,2,50,1,1,0,1
53,2,50,14,5,9,1
54,2,50,49,49,0,1
55,2,50,9,5,4,1
56,2,50,22,17,5,1
57,2,50,48,5,43,1
58,2,50,12,3,9,1
59,2,50,66,3,63,1
60,2,50,49,49,0,1
61,2,50,56,17,39,1
62,2,50,38,5,33,1
63,2,50,4,4,0,1
64,2,50,49,49,0,1
65,2,50,35,5,30,1
66,2,50,2,2,0,1
67,2,50,14,4,10,1
68,2,50,17,17,0,1
69,2,50,3,3,0,1
70,2,50,1,1,0,1
71,2,50,2,2,0,1
72,2,50,8,8,0,1
73,2,50,17,17,0,1
74,2,50,1,1,0,1
75,2,50,17,17,0,1
76,2,50,17,17,0,1
77,2,50,1,1,0,1
78,2,50,4,3,1,1
79,2,50,5,5,0,1
80,2,50,1,1,0,1
81,2,50,17,17,0,1
82,2,50,2,2,0,1
83,2,50,1,1,0,1
84,2,50,1,1,0,1
85,2,50,16,4,12,1
86,2,50,8,8,0,1
87,2,50,72,2,70,1
