episode,loss,policy_loss,value_loss
1,6.302581151326497,2.116685469945272,4.185895760854085
2,10.278223514556885,3.0171735882759094,7.261049747467041
3,8.930817365646362,2.70780748128891,6.223009943962097
4,7.950644016265869,2.8544511795043945,5.09619277715683
5,6.166397333145142,2.819600284099579,3.3467971682548523
6,6.205864310264587,2.9980546832084656,3.2078097462654114
7,6.673353552818298,2.862798571586609,3.8105549216270447
8,6.22611403465271,2.7850515246391296,3.4410623908042908
9,6.182169795036316,2.849907875061035,3.3322620391845703
10,5.1957080364227295,3.042020857334137,2.1536870896816254
11,4.9883880615234375,2.661272168159485,2.3271158039569855
12,6.396815538406372,2.86688232421875,3.529933273792267
13,4.731043756008148,2.6965193152427673,2.0345244109630585
14,6.430163264274597,3.1443377137184143,3.285825550556183
15,5.57867705821991,2.5883615016937256,2.9903154969215393
16,5.654913902282715,2.744010329246521,2.9109035432338715
17,5.863792419433594,2.7662192583084106,3.097573310136795
18,4.267217695713043,2.441147804260254,1.8260699808597565
19,4.525353968143463,2.6404364109039307,1.8849176615476608
20,4.841092824935913,2.6746963262557983,2.1663964986801147
21,7.097180128097534,2.5020791888237,4.595100939273834
22,6.803692579269409,2.810201108455658,3.993491530418396
23,5.942172408103943,2.5127912163734436,3.4293811321258545
24,4.911105513572693,2.568918466567993,2.3421871066093445
25,5.452625155448914,2.7346379160881042,2.7179871201515198
26,6.031520128250122,2.6609089374542236,3.370611310005188
27,5.732060134410858,2.3368729948997498,3.395187020301819
28,5.108236193656921,2.5946768522262573,2.513559401035309
29,5.0190054178237915,2.232669234275818,2.7863363325595856
30,5.826344132423401,2.7964460849761963,3.0298980474472046
31,5.344657897949219,2.2776907682418823,3.066967099905014
32,6.91887640953064,2.67927622795105,4.2396000623703
33,7.016955733299255,2.747345268726349,4.269610524177551
34,6.40640664100647,2.6898242235183716,3.7165823578834534
35,6.753409504890442,2.3771777153015137,4.376231789588928
36,6.19454038143158,2.6178725361824036,3.5766677856445312
37,5.730404853820801,2.679070472717285,3.051334500312805
38,6.36299055814743,2.583941400051117,3.7790490984916687
39,7.227694034576416,2.4897987842559814,4.737895488739014
40,5.911508798599243,2.304652750492096,3.6068562269210815
41,5.904428422451019,2.6325066089630127,3.271921753883362
42,5.930737495422363,2.8675277829170227,3.063209593296051
43,7.108707785606384,2.633772134780884,4.4749356508255005
44,5.840624213218689,2.6037198305130005,3.236904263496399
45,5.847921013832092,2.6548487544059753,3.193072199821472
46,6.368236422538757,2.566660225391388,3.801576256752014
47,4.56846809387207,2.6467830538749695,1.921684980392456
48,7.078468680381775,2.898076832294464,4.180391848087311
49,5.5579816699028015,2.2648364305496216,3.29314523935318
50,6.195929408073425,2.661320924758911,3.5346085131168365
51,4.499309778213501,2.7382136583328247,1.761096179485321
52,5.422426402568817,2.9475438594818115,2.4748825430870056
53,5.659371376037598,2.5845532417297363,3.0748180747032166
54,5.466653227806091,2.581446409225464,2.885206788778305
55,6.123499751091003,3.162184774875641,2.96131494641304
56,4.819155931472778,2.8040138483047485,2.01514208316803
57,5.590104341506958,2.679021179676056,2.9110831022262573
58,5.8395538330078125,2.9972005486488342,2.842353045940399
59,5.670614302158356,2.9002275466918945,2.7703867405653
60,6.564943909645081,2.706817626953125,3.8581262826919556
61,4.415674448013306,2.9695440530776978,1.446130394935608
62,7.306846857070923,3.012805700302124,4.294041335582733
63,6.644963383674622,2.45221209526062,4.192751228809357
64,6.006272912025452,2.79219514131546,3.2140777111053467
65,5.164880871772766,2.8008864521980286,2.363994538784027
66,6.016539096832275,2.7301799058914185,3.286359190940857
67,5.9687734842300415,2.5708388090133667,3.397934675216675
68,6.181276321411133,2.5696136355400085,3.611662745475769
69,5.512503564357758,2.6880295872688293,2.824474036693573
70,6.6153687834739685,2.8906601667404175,3.72470860183239
71,5.5743162631988525,2.532213568687439,3.0421026051044464
72,7.031518220901489,2.514646828174591,4.516871392726898
73,6.553901195526123,2.8482211232185364,3.705680012702942
74,6.052002191543579,2.8133628368377686,3.2386392951011658
75,5.144198417663574,2.766648232936859,2.377550184726715
76,6.3942553997039795,2.772387206554413,3.6218682527542114
77,4.819381833076477,2.6978656351566315,2.1215162575244904
78,6.934464454650879,2.7364726662635803,4.197991669178009
79,5.113715767860413,2.551937997341156,2.561777740716934
80,5.368589997291565,2.4537814557552338,2.9148086607456207
81,5.764772057533264,2.5753992795944214,3.1893727481365204
82,6.026096284389496,2.962290585041046,3.0638056993484497
83,6.494069337844849,2.832390308380127,3.6616791486740112
84,5.977119088172913,3.1300475001335144,2.847071498632431
85,5.7007704973220825,2.710366368293762,2.990403950214386
86,7.049766957759857,2.944983184337616,4.104783773422241
87,6.35023832321167,2.747404634952545,3.602833867073059
