episode,loss,policy_loss,value_loss
1,1.034393548965454,1.0301111042499542,0.017129870830103755
2,1.540362387895584,1.5377601087093353,0.010409142530988902
3,1.7465668320655823,1.7437838912010193,0.011131737323012203
4,1.7659530341625214,1.765003353357315,0.003798631893005222
5,1.6965835690498352,1.6949151158332825,0.006673802039586008
6,1.6285508871078491,1.6281085908412933,0.001769209120539017
7,1.6667821407318115,1.577413558959961,0.35747431142954156
8,1.8185892403125763,1.694271981716156,0.4972689028363675
9,1.6051904559135437,1.5374807715415955,0.27083880035206676
10,2.377659261226654,1.4142528474330902,3.853625826537609
11,2.464005947113037,1.4488525986671448,4.060613334178925
12,2.2889052033424377,1.4459578543901443,3.3717894591391087
13,2.0642509162425995,1.382634162902832,2.726466901600361
14,2.008436679840088,1.4936088025569916,2.0593114979565144
15,1.9100303649902344,1.3722399175167084,2.1511617191135883
16,2.008996397256851,1.5041180551052094,2.0195133090019226
17,2.3071588426828384,1.4222144782543182,3.539777345955372
18,1.6061411947011948,1.1693634390830994,1.7471111714839935
19,2.0539577901363373,1.2496213763952255,3.2173457741737366
20,1.7918036580085754,1.5028035938739777,1.1560001485049725
21,2.193026065826416,1.4734937250614166,2.8781291842460632
22,1.7487905323505402,1.4310923367738724,1.2707928605377674
23,1.8174523711204529,1.4348818957805634,1.530281886458397
24,3.598263204097748,1.4910171031951904,8.428984701633453
25,2.580723524093628,1.6185411512851715,3.8487293869256973
26,3.735997259616852,1.4645242989063263,9.085891723632812
27,3.4633468985557556,1.435422122478485,8.111699372529984
28,4.7871920466423035,1.6153795421123505,12.68725049495697
29,4.601007699966431,1.5726712942123413,12.113345265388489
30,4.087828367948532,1.4440437257289886,10.575138211250305
31,3.915742814540863,1.5207641124725342,9.579914927482605
32,4.221164703369141,1.3037143051624298,11.669801354408264
33,4.433402061462402,1.457703784108162,11.902793407440186
34,3.6204423308372498,1.2922765910625458,9.312663078308105
35,2.5117353796958923,1.157146230340004,5.418356657028198
36,3.0778366923332214,1.2862946689128876,7.166168048977852
37,2.942355453968048,1.178274616599083,7.056323267519474
38,3.8726328015327454,1.3336156904697418,10.156068563461304
39,3.54802143573761,1.189163863658905,9.43543004989624
40,4.3186599016189575,1.5699697136878967,10.99476045370102
41,3.9918216466903687,1.3270200192928314,10.659206509590149
42,5.825003683567047,1.6002625823020935,16.898964405059814
43,6.426283240318298,1.7040656805038452,18.888869762420654
44,8.646303534507751,1.6539174318313599,27.969544529914856
45,6.635268688201904,1.6471786499023438,19.952360153198242
46,8.673632621765137,1.8301358222961426,27.373987197875977
47,8.048258781433105,1.5813316404819489,25.867708683013916
48,6.859568178653717,1.4642056077718735,21.58144974708557
49,6.443015098571777,1.56975257396698,19.49304962158203
50,4.655766308307648,1.5490916967391968,12.426698386669159
51,4.890699982643127,1.4713117182254791,13.677552819252014
52,7.5343780517578125,1.619655728340149,23.658889055252075
53,6.1739107966423035,1.4827925562858582,18.764472484588623
54,4.787790894508362,1.6097089350223541,12.712327480316162
55,5.5575562715530396,1.455167442560196,16.409555196762085
56,3.6950440406799316,1.5318803787231445,8.65265440940857
57,6.0256640911102295,1.541518747806549,17.93658173084259
