episode,state_idx,predicted_value,target_value
0,0,0.0505901537835598,0.0
0,1,0.04593336582183838,0.0
0,2,0.003912739455699921,0.0
0,3,-0.008499711751937866,0.0
0,4,-0.01769965887069702,0.0
0,5,-0.02290746569633484,0.0
0,6,-0.03828662633895874,0.0
1,0,-0.0013787299394607544,-4.0
1,1,0.009336382150650024,-4.0
1,2,0.00557149201631546,-4.0
1,3,0.026005178689956665,-4.0
1,4,0.034664854407310486,-4.0
1,5,0.025315672159194946,-4.0
1,6,0.03820636868476868,-4.0
1,7,0.03527738153934479,-4.0
2,0,-0.11464547365903854,-2.0
2,1,-0.1579042673110962,-2.0
2,2,-0.1694481372833252,-2.0
2,3,-0.170927494764328,-2.0
2,4,-0.15979567170143127,-2.0
2,5,-0.15025478601455688,-2.0
3,0,-0.2240111231803894,0.0
4,0,-0.2435525804758072,0.0
5,0,-0.2771850526332855,0.0
5,1,-0.2781811058521271,0.0
5,2,-0.2775297164916992,0.0
5,3,-0.28451064229011536,0.0
5,4,-0.28586581349372864,0.0
5,5,-0.28151369094848633,0.0
5,6,-0.2668250501155853,0.0
5,7,-0.2485780417919159,0.0
5,8,-0.25454798340797424,0.0
5,9,-0.23854416608810425,0.0
5,10,-0.23187991976737976,0.0
5,11,-0.22015336155891418,0.0
5,12,-0.2227119505405426,0.0
5,13,-0.21387901902198792,0.0
5,14,-0.21818429231643677,0.0
5,15,-0.21099644899368286,0.0
5,16,-0.20762401819229126,0.0
6,0,-0.15819570422172546,0.0
6,1,-0.16140946745872498,0.0
6,2,-0.16843470931053162,0.0
6,3,-0.1817963719367981,0.0
6,4,-0.21702590584754944,0.0
6,5,-0.21757185459136963,0.0
6,6,-0.21697106957435608,0.0
6,7,-0.21550166606903076,0.0
6,8,-0.22340941429138184,0.0
7,0,-0.26536890864372253,0.0
8,0,0.1158762276172638,-5.0
8,1,0.11555583029985428,-5.0
8,2,0.11490380764007568,-5.0
8,3,0.10286876559257507,-5.0
8,4,0.033654890954494476,-5.0
8,5,-0.005551442503929138,-5.0
8,6,-0.0006188005208969116,-5.0
9,0,-0.35243141651153564,-1.0
9,1,-0.35354381799697876,-1.0
9,2,-0.357435405254364,-1.0
9,3,-0.35737305879592896,-1.0
9,4,-0.35963475704193115,-1.0
9,5,-0.3606756329536438,-1.0
9,6,-0.358375608921051,-1.0
9,7,-0.35919588804244995,-1.0
10,0,-0.28593069314956665,0.0
11,0,-0.3837084174156189,-3.0
11,1,-0.3850369155406952,-3.0
11,2,-0.384864866733551,-3.0
11,3,-0.38544103503227234,-3.0
11,4,-0.3857511579990387,-3.0
11,5,-0.3841541111469269,-3.0
11,6,-0.3831419050693512,-3.0
11,7,-0.38275960087776184,-3.0
11,8,-0.38189539313316345,-3.0
11,9,-0.3818449378013611,-3.0
12,0,-0.36714643239974976,0.0
12,1,-0.38750797510147095,0.0
12,2,-0.4005550742149353,0.0
12,3,-0.4005017876625061,0.0
12,4,-0.3931300640106201,0.0
12,5,-0.37563371658325195,0.0
12,6,-0.3848491311073303,0.0
12,7,-0.3744656443595886,0.0
12,8,-0.38546544313430786,0.0
12,9,-0.38466793298721313,0.0
12,10,-0.387919545173645,0.0
13,0,-0.42554569244384766,-5.0
13,1,-0.42546719312667847,-5.0
13,2,-0.424413800239563,-5.0
13,3,-0.41565579175949097,-5.0
13,4,-0.4200565218925476,-5.0
13,5,-0.4113643169403076,-5.0
13,6,-0.4092230200767517,-5.0
13,7,-0.400892972946167,-5.0
14,0,-0.38729602098464966,-2.0
14,1,-0.38646090030670166,-2.0
14,2,-0.3853182792663574,-2.0
14,3,-0.37749141454696655,-2.0
14,4,-0.3700621426105499,-2.0
14,5,-0.36860570311546326,-2.0
14,6,-0.36590251326560974,-2.0
15,0,-0.3759571313858032,0.0
16,0,-0.4322357177734375,0.0
17,0,-0.49810177087783813,0.0
17,1,-0.4850378632545471,0.0
18,0,0.12463536113500595,0.0
19,0,-0.4662105143070221,0.0
