episode,loss,policy_loss,value_loss
1,3.4873517751693726,1.4028468132019043,8.338019847869873
2,2.9335429668426514,1.3767069578170776,6.227343877156575
3,2.791930596033732,1.305264910062154,5.946662584940593
4,2.653184652328491,1.2465189297993977,5.626662890116374
5,2.5304352045059204,1.570421427488327,3.8400550484657288
6,2.1643761098384857,1.455114334821701,2.8370471149683
7,1.8246035873889923,1.4143010079860687,1.641210333444178
8,2.188239425420761,1.2768342196941376,3.6456208005547523
9,2.2939617037773132,1.444014698266983,3.399787962436676
10,2.3837476074695587,1.5038175582885742,3.519720435142517
11,2.1025233566761017,1.360094577074051,2.969715029001236
12,2.304225206375122,1.3939635455608368,3.641046702861786
13,2.2247326970100403,1.3536436259746552,3.4843564592301846
14,3.0613080263137817,1.3749470114707947,6.745444059371948
15,2.638744831085205,1.4352372288703918,4.814030647277832
16,2.311092495918274,1.4202584028244019,3.5633364617824554
17,2.3705623745918274,1.7126696109771729,2.631570912897587
18,2.7314139008522034,1.3209314346313477,5.641929745674133
19,2.4806957244873047,1.3190558850765228,4.646559476852417
