episode,state_idx,predicted_value,target_value
0,0,0.08863472938537598,-29.0
0,1,0.24541960656642914,-29.0
0,2,0.2250567227602005,-29.0
0,3,0.18840964138507843,-29.0
0,4,0.18450041115283966,-29.0
0,5,0.1811644434928894,-29.0
0,6,0.1799563765525818,-29.0
0,7,0.17226064205169678,-29.0
0,8,0.15663209557533264,-29.0
0,9,0.1685258001089096,-29.0
0,10,0.14861629903316498,-29.0
0,11,0.13520491123199463,-29.0
0,12,0.13600148260593414,-29.0
0,13,0.13721410930156708,-29.0
0,14,0.14373090863227844,-29.0
0,15,0.13819938898086548,-29.0
0,16,0.14522545039653778,-29.0
0,17,0.13520307838916779,-29.0
0,18,0.13824473321437836,-29.0
0,19,0.13551118969917297,-29.0
0,20,0.13920217752456665,-29.0
0,21,0.13889314234256744,-29.0
0,22,0.1411673128604889,-29.0
0,23,0.1378389447927475,-29.0
0,24,0.13006743788719177,-29.0
0,25,0.12935826182365417,-29.0
0,26,0.13349714875221252,-29.0
0,27,0.11863440275192261,-29.0
0,28,0.11846010386943817,-29.0
0,29,0.12298354506492615,-29.0
0,30,0.13257072865962982,-29.0
0,31,0.142292782664299,-29.0
0,32,0.1511983573436737,-29.0
1,0,0.12828856706619263,-2.0
1,1,0.0838390663266182,-2.0
1,2,-0.003216288983821869,-2.0
1,3,-0.06414426118135452,-2.0
1,4,-0.12467876821756363,-2.0
1,5,-0.14789772033691406,-2.0
1,6,-0.1525181531906128,-2.0
2,0,-0.48435795307159424,-31.0
2,1,-0.4852602481842041,-31.0
2,2,-0.46384716033935547,-31.0
2,3,-0.4688758850097656,-31.0
2,4,-0.47633230686187744,-31.0
2,5,-0.4808436632156372,-31.0
2,6,-0.47816556692123413,-31.0
2,7,-0.4782615900039673,-31.0
2,8,-0.47221797704696655,-31.0
2,9,-0.46421217918395996,-31.0
2,10,-0.4657062292098999,-31.0
2,11,-0.46493273973464966,-31.0
2,12,-0.5127070546150208,-31.0
2,13,-0.5106036067008972,-31.0
2,14,-0.506266713142395,-31.0
2,15,-0.5026164054870605,-31.0
2,16,-0.4990536570549011,-31.0
2,17,-0.4992373585700989,-31.0
2,18,-0.49363911151885986,-31.0
2,19,-0.49185192584991455,-31.0
2,20,-0.48946988582611084,-31.0
2,21,-0.4862481951713562,-31.0
2,22,-0.48186492919921875,-31.0
2,23,-0.4781094789505005,-31.0
2,24,-0.47399765253067017,-31.0
2,25,-0.4693097472190857,-31.0
2,26,-0.4641343951225281,-31.0
2,27,-0.4605293273925781,-31.0
2,28,-0.458168089389801,-31.0
2,29,-0.45383405685424805,-31.0
2,30,-0.44952237606048584,-31.0
2,31,-0.4457811713218689,-31.0
2,32,-0.44188326597213745,-31.0
2,33,-0.43856120109558105,-31.0
2,34,-0.43462246656417847,-31.0
2,35,-0.4306058883666992,-31.0
3,0,-0.49768489599227905,-5.0
3,1,-0.49883776903152466,-5.0
3,2,-0.5099366903305054,-5.0
3,3,-0.5315024852752686,-5.0
3,4,-0.5525716543197632,-5.0
3,5,-0.5488936305046082,-5.0
3,6,-0.5543370246887207,-5.0
3,7,-0.5564982295036316,-5.0
3,8,-0.5569512844085693,-5.0
3,9,-0.5565261244773865,-5.0
3,10,-0.5579850077629089,-5.0
3,11,-0.5580967664718628,-5.0
