episode,n,mult,agent_rays,baseline_rays,gap,resolved
0,2,39,35,4,31,1
1,2,30,22,5,17,1
2,2,26,15,5,10,1
3,2,24,12,7,5,1
4,2,27,6,6,0,1
5,2,21,1,1,0,1
6,2,23,2,2,0,1
7,2,50,2,2,0,1
8,2,36,28,7,21,1
9,2,18,1,1,0,1
10,2,6,1,1,0,1
11,2,46,45,45,0,1
12,2,29,3,3,0,1
13,2,17,8,8,0,1
14,2,7,3,3,0,1
15,2,7,3,2,1,1
16,2,47,58,8,50,1
17,2,7,1,1,0,1
18,2,42,4,3,1,1
19,2,28,11,9,2,1
20,2,48,1,1,0,1
21,2,29,4,4,0,1
22,2,2,1,1,0,1
23,2,15,1,1,0,1
24,2,25,4,4,0,1
25,2,19,4,4,0,1
26,2,10,3,3,0,1
27,2,41,12,5,7,1
28,2,27,3,3,0,1
29,2,31,20,6,14,1
30,2,31,1,1,0,1
31,2,21,4,4,0,1
32,2,8,4,3,1,1
33,2,8,2,2,0,1
34,2,13,1,1,0,1
35,2,16,3,3,0,1
36,2,20,11,7,4,1
37,2,20,10,7,3,1
38,2,29,4,4,0,1
39,2,27,2,2,0,1
40,2,11,2,2,0,1
41,2,13,4,4,0,1
42,2,21,1,1,0,1
43,2,45,22,11,11,1
44,2,44,43,43,0,1
45,2,48,18,5,13,1
46,2,13,3,3,0,1
47,2,4,1,1,0,1
48,2,46,5,4,1,1
49,2,28,3,3,0,1
50,2,50,1,1,0,1
51,2,5,2,2,0,1
52,2,2,1,1,0,1
53,2,21,1,1,0,1
54,2,27,10,4,6,1
55,2,31,11,10,1,1
56,2,38,16,5,11,1
57,2,33,2,2,0,1
58,2,38,5,5,0,1
59,2,39,10,6,4,1
60,2,44,1,1,0,1
61,2,50,1,1,0,1
62,2,46,1,1,0,1
63,2,7,6,6,0,1
64,2,50,30,5,25,1
65,2,15,7,7,0,1
66,2,15,7,7,0,1
67,2,34,33,33,0,1
68,2,38,9,8,1,1
69,2,16,3,3,0,1
70,2,5,2,2,0,1
71,2,10,1,1,0,1
72,2,8,2,2,0,1
73,2,35,2,2,0,1
74,2,14,2,2,0,1
75,2,7,2,2,0,1
76,2,48,1,1,0,1
77,2,25,1,1,0,1
78,2,20,3,3,0,1
