episode,state_idx,predicted_value,target_value
0,0,0.1691037267446518,0.0
0,1,0.16551503539085388,0.0
0,2,0.17496474087238312,0.0
0,3,0.17129841446876526,0.0
0,4,0.19094520807266235,0.0
0,5,0.19451022148132324,0.0
0,6,0.2060493528842926,0.0
1,0,-0.12929736077785492,-9.0
1,1,-0.23421241343021393,-9.0
1,2,-0.2559424638748169,-9.0
1,3,-0.2967650890350342,-9.0
1,4,-0.31572699546813965,-9.0
1,5,-0.2958317995071411,-9.0
1,6,-0.31313639879226685,-9.0
1,7,-0.23448650538921356,-9.0
1,8,-0.18292133510112762,-9.0
1,9,-0.1780472844839096,-9.0
1,10,-0.1932685822248459,-9.0
1,11,-0.16506214439868927,-9.0
1,12,-0.16084106266498566,-9.0
1,13,-0.16135616600513458,-9.0
2,0,-0.12646745145320892,-1.0
2,1,-0.11739090085029602,-1.0
2,2,-0.06481333076953888,-1.0
2,3,-0.033124685287475586,-1.0
2,4,-0.029577627778053284,-1.0
2,5,-0.03825311362743378,-1.0
3,0,-0.4722396731376648,0.0
3,1,-0.47219836711883545,0.0
4,0,-0.552274763584137,0.0
4,1,-0.5571900606155396,0.0
5,0,-0.5791037678718567,0.0
6,0,-0.5252317786216736,0.0
7,0,-0.5724659562110901,0.0
7,1,-0.5680810213088989,0.0
7,2,-0.5552288889884949,0.0
7,3,-0.5450678467750549,0.0
7,4,-0.5366035103797913,0.0
7,5,-0.5311546325683594,0.0
7,6,-0.5278985500335693,0.0
7,7,-0.5254976153373718,0.0
7,8,-0.5305401682853699,0.0
7,9,-0.5294548273086548,0.0
7,10,-0.5288183689117432,0.0
7,11,-0.515949547290802,0.0
7,12,-0.5019005537033081,0.0
8,0,-0.41500359773635864,0.0
8,1,-0.41193175315856934,0.0
8,2,-0.4253332018852234,0.0
9,0,-0.6458597183227539,-2.0
9,1,-0.6573305130004883,-2.0
9,2,-0.6585919857025146,-2.0
9,3,-0.6562238335609436,-2.0
9,4,-0.6492323875427246,-2.0
10,0,-0.44699814915657043,0.0
10,1,-0.42412278056144714,0.0
10,2,-0.42558053135871887,0.0
10,3,-0.41104498505592346,0.0
10,4,-0.40614354610443115,0.0
10,5,-0.4639785587787628,0.0
10,6,-0.44885364174842834,0.0
11,0,-0.07403469830751419,0.0
12,0,-0.3209339380264282,0.0
13,0,0.10438358783721924,0.0
13,1,0.12294242531061172,0.0
13,2,0.15945690870285034,0.0
14,0,-0.5214442610740662,0.0
15,0,0.0241171196103096,0.0
15,1,0.04827762395143509,0.0
15,2,0.013722337782382965,0.0
15,3,0.02504696696996689,0.0
15,4,0.010855995118618011,0.0
16,0,-0.32689449191093445,0.0
16,1,-0.3784644603729248,0.0
16,2,-0.36869320273399353,0.0
16,3,-0.4140717685222626,0.0
16,4,-0.519763171672821,0.0
16,5,-0.5741090774536133,0.0
17,0,-0.8180335760116577,-1.0
17,1,-0.8191635012626648,-1.0
17,2,-0.8226155638694763,-1.0
17,3,-0.8255757093429565,-1.0
17,4,-0.8284719586372375,-1.0
17,5,-0.8362740874290466,-1.0
18,0,-0.47895362973213196,-1.0
18,1,-0.4641404449939728,-1.0
18,2,-0.5303186178207397,-1.0
18,3,-0.6574547290802002,-1.0
19,0,-0.8717353940010071,0.0
19,1,-0.8693957924842834,0.0
19,2,-0.8569712042808533,0.0
19,3,-0.853126585483551,0.0
19,4,-0.8427415490150452,0.0
19,5,-0.8329086899757385,0.0
19,6,-0.8241515755653381,0.0
19,7,-0.7960461974143982,0.0
19,8,-0.7540602087974548,0.0
